context,action,reward,"Q(c,23)","Q(c,14)","Q(c,8)","Q(c,3)"
punishment,8,8,-7.909690626508077,-2.508067117201029,-1.5214058754055582,-2.317534481031958
reward,23,23,18.050192893155046,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,8,-8,-5.530855553276645,-1.8925055553923256,-1.0149832277502435,0.13115440990595956
neutral,3,-3,-5.530855553276645,-1.8925055553923256,-1.0149832277502435,-0.1819610310846364
punishment,8,-8,-7.909690626508077,-2.508067117201029,-2.1692652878650023,-2.317534481031958
reward,23,23,18.54517360383954,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,18.990656243455586,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,-3,-7.909690626508077,-2.508067117201029,-2.1692652878650023,-2.385781032928762
reward,23,23,19.391590619110026,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,19.752431557199024,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,14,-14,-7.909690626508077,-3.657260405480926,-2.1692652878650023,-2.385781032928762
reward,23,-23,15.477188401479122,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,16.22946956133121,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,8,8,-5.530855553276645,-1.8925055553923256,-0.11348490497521924,-0.1819610310846364
reward,23,23,16.90652260519809,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,8,-8,-7.909690626508077,-3.657260405480926,-2.7523387590785022,-2.385781032928762
punishment,3,-3,-7.909690626508077,-3.657260405480926,-2.7523387590785022,-2.447202929635886
punishment,8,-8,-7.909690626508077,-3.657260405480926,-3.277104883170652,-2.447202929635886
reward,23,23,17.515870344678284,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,-3,-7.909690626508077,-3.657260405480926,-3.277104883170652,-2.502482636672297
neutral,23,23,-2.67776999794898,-1.8925055553923256,-0.11348490497521924,-0.1819610310846364
reward,23,23,18.064283310210456,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,14,-14,-7.909690626508077,-4.691534364932833,-3.277104883170652,-2.502482636672297
punishment,3,3,-7.909690626508077,-4.691534364932833,-3.277104883170652,-1.9522343730050675
punishment,8,-8,-7.909690626508077,-4.691534364932833,-3.749394394853587,-1.9522343730050675
punishment,3,-3,-7.909690626508077,-4.691534364932833,-3.749394394853587,-2.057010935704561
punishment,3,-3,-7.909690626508077,-4.691534364932833,-3.749394394853587,-2.151309842134105
neutral,8,-8,-2.67776999794898,-1.8925055553923256,-0.9021364144776974,-0.1819610310846364
reward,23,23,18.55785497918941,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,19.00206948127047,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,19.401862533143422,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-2.67776999794898,-1.8925055553923256,-0.9021364144776974,-0.46376492797617275
neutral,8,8,-2.67776999794898,-1.8925055553923256,-0.011922773029927725,-0.46376492797617275
neutral,8,-8,-2.67776999794898,-1.8925055553923256,-0.810730495726935,-0.46376492797617275
neutral,8,8,-2.67776999794898,-1.8925055553923256,0.0703425538457585,-0.46376492797617275
reward,23,23,19.76167627982908,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,20.08550865184617,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,20.376957786661553,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-2.67776999794898,-1.8925055553923256,0.0703425538457585,-0.7173884351785556
reward,23,23,20.6392620079954,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-2.67776999794898,-1.8925055553923256,0.0703425538457585,-0.9456495916607
reward,23,23,20.87533580719586,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,14,14,-2.67776999794898,-0.3032549998530929,0.0703425538457585,-0.9456495916607
neutral,8,-8,-2.67776999794898,-0.3032549998530929,-0.7366917015388175,-0.9456495916607
neutral,14,-14,-2.67776999794898,-1.6729294998677837,-0.7366917015388175,-0.9456495916607
reward,23,-23,16.487802226476273,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-2.67776999794898,-1.6729294998677837,-0.7366917015388175,-1.15108463249463
reward,23,23,17.139022003828646,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,-23,13.12511980344578,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,-3,-7.909690626508077,-4.691534364932833,-3.749394394853587,-2.2361788579206947
neutral,14,-14,-2.67776999794898,-2.905636549881005,-0.7366917015388175,-1.15108463249463
punishment,3,-3,-7.909690626508077,-4.691534364932833,-3.749394394853587,-2.312560972128625
punishment,8,-8,-7.909690626508077,-4.691534364932833,-4.174454955368228,-2.312560972128625
punishment,3,-3,-7.909690626508077,-4.691534364932833,-4.174454955368228,-2.3813048749157626
punishment,3,-3,-7.909690626508077,-4.691534364932833,-4.174454955368228,-2.4431743874241865
punishment,3,-3,-7.909690626508077,-4.691534364932833,-4.174454955368228,-2.4988569486817678
reward,23,23,14.112607823101202,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,15.001347040791082,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,3,-7.909690626508077,-4.691534364932833,-4.174454955368228,-1.9489712538135908
reward,23,23,15.801212336711973,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,-23,11.921091103040776,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,8,-8,-7.909690626508077,-4.691534364932833,-4.557009459831405,-1.9489712538135908
punishment,3,3,-7.909690626508077,-4.691534364932833,-4.557009459831405,-1.4540741284322318
punishment,3,-3,-7.909690626508077,-4.691534364932833,-4.557009459831405,-1.6086667155890086
punishment,3,-3,-7.909690626508077,-4.691534364932833,-4.557009459831405,-1.7478000440301078
reward,23,23,13.028981992736698,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,-3,-7.909690626508077,-4.691534364932833,-4.557009459831405,-1.873020039627097
reward,23,23,14.026083793463028,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,-23,10.323475414116725,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,11.591127872705053,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,-3,-7.909690626508077,-4.691534364932833,-4.557009459831405,-1.9857180356643873
neutral,3,-3,-2.67776999794898,-2.905636549881005,-0.7366917015388175,-1.335976169245167
reward,23,23,12.732015085434547,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,8,-8,-2.67776999794898,-2.905636549881005,-1.4630225313849357,-1.335976169245167
neutral,3,3,-2.67776999794898,-2.905636549881005,-1.4630225313849357,-0.9023785523206503
reward,23,23,13.758813576891093,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,14.682932219201984,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,15.514638997281786,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,8,-8,-2.67776999794898,-2.905636549881005,-2.1167202782464423,-0.9023785523206503
reward,23,23,16.263175097553606,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,23,23,-0.10999299815408214,-2.905636549881005,-2.1167202782464423,-0.9023785523206503
reward,23,23,16.936857587798247,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,-23,12.943171829018423,3.794007288171364,0.5680334792442245,0.5700270303975022
